"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","all_params","param_years","param_last5avg_surf","last_year","programs"
"BR-180-01","Blueberry Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13","3.07, 23.8, 8.46, 6.61, 8, 0.54, 16.73, 43.25, 12.42, 6.9, 44.77, 55.31, 43.86",2016,"Pond and Lake Stewards"
"BR-189-01","Sols Pond",11,11,1,1,"2001, 2003, 2004, 2005, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","11, 11, 11, 11, 11, 10, 10, 10, 10, 10, 10, 10, 11","3.15, 23.8, 9.8, 6.34, 14.1, 1.17, 36.24, 42.9, 7.79, 4.51, 55.92, 50.74, 43.47",2016,"Pond and Lake Stewards"
"BR-192-01","Little Cliff Pond",14,14,2,1.07,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","4.18, 23.7, 7.88, 5.95, 7.9, 0.46, 14.25, 27.94, 3.59, 1.88, 42.46, 43.14, 39.41",2016,"Pond and Lake Stewards"
"BR-194-01","Higgins Pond",14,14,2,1.07,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","6.4, 24.1, 8.49, 6.37, 7.1, 0.17, 5.27, 21.34, 1.14, 1.13, 28.12, 31.89, 33.25",2016,"Pond and Lake Stewards"
"BR-202-01","Eel Pond",6,6,1,1,"2004, 2005, 2006, 2007, 2008, 2009","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2009,"Pond and Lake Stewards"
"BR-205-01","Schoolhouse Pond",14,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 13","NA, NA, NA, NA, NA, 1.47, 45.53, 50.92, 20.99, 28.17, 59.21, 60.46, NA",2016,"Pond and Lake Stewards"
"BR-225-01","Smith Pond",11,11,1,1,"2001, 2003, 2004, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11","2.35, 23.7, 6.47, 6.41, 9.9, 0.95, 29.43, 63.98, 13.16, 7.39, 52.92, 55.88, 47.69",2016,"Pond and Lake Stewards"
"BR-240-01","Sheep Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","7, 24.1, 8.21, 6.4, 5.2, 0.32, 9.91, 22.88, 1.89, 0.73, 37.22, 36.84, 31.96",2016,"Pond and Lake Stewards"
"BR-245-01","Lower Mill Pond",14,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13","1.15, 24, 6.6, 6.36, 10.1, 1.01, 31.28, 48.45, 21.1, 9.75, 53.8, 60.51, 57.99",2016,"Pond and Lake Stewards"
"BR-248-01","Griffiths Pond",14,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","2.35, 23.6, 8.36, 6.25, 3.5, 0.9, 27.88, 46.44, 17.08, 3.67, 52.14, 58.44, 47.69",2016,"Pond and Lake Stewards"
"BR-269-01","Canoe Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","3.03, 22.8, 7.6, 6.95, 28.6, 0.6, 18.58, 42.3, 6.19, 5.77, 46.29, 48.48, 44.05",2016,"Pond and Lake Stewards"
"BR-272-01","Upper Mill Pond",14,13,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","1.73, 23.6, 7.81, 6.37, 8.5, 0.9, 27.88, 38.89, 12.33, 7.47, 52.14, 55.24, 52.1",2016,"Pond and Lake Stewards"
"BR-279-01","Long Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","12, 14, 14, 1, 14, 14, 14, 13, 14, 14, 14, 13, 13, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BR-279-02","Long Pond",3,3,1,1,"2010, 2012, 2013","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2013,"Pond and Lake Stewards"
"BR-299-01","Cahoon Pond",13,12,1,1,"2001, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","4.05, 23.2, 6.84, 5.81, 2.6, 0.34, 10.53, 39.2, 1.1, 2.4, 38.1, 31.53, 39.84",2016,"Pond and Lake Stewards"
"BR-305-01","Greenland Pond",13,13,1,1,"2001, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 12, 13, 13, 13","3.42, 25.1, 8.33, 6.18, 5.5, 0.43, 13.32, 39.51, 4.79, 2.73, 41.49, 45.97, 42.28",2016,"Pond and Lake Stewards"
"BR-313-01","Walkers Pond",14,10,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","0.52, 24, 9.23, 7.03, 10.5, 2.31, 71.55, 108.31, 90.57, 12.4, 65.73, 74.81, 69.56",2016,"Pond and Lake Stewards"
"BR-314-01","Smalls Pond",13,13,1,1,"2001, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 12, 12, 12, 13, 13, 12, 13, 13","1.86, 23.6, 7.51, 6.89, 21.8, 0.71, 21.99, 45.06, 23.4, 2.3, 48.72, 61.53, 51.06",2016,"Pond and Lake Stewards"
"BR-316-01","Black Pond",12,12,1,1,"2001, 2003, 2004, 2005, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","11, 12, 12, 12, 12, 11, 11, 11, 12, 12, 11, 12, 11","2.49, 25, 7.3, 5.85, 2.7, 0.71, 21.99, 39.51, 12.16, 32.83, 48.72, 55.11, 46.85",2016,"Pond and Lake Stewards"
"BR-321-01","Slough Pond",14,14,2,1.07,"2001, 2003, 2004, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","14, 14, 14, 1, 14, 14, 14, 13, 14, 14, 14, 13, 13, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1","4.15, 23.3, 7.6, NA, 6.14, 3, 0.32, 9.91, 29, 7.81, 4.2, 37.22, 50.76, 39.49, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BR-335-01","Pine Pond",14,14,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","5.2, 23.2, 8.4, 5.08, 0.6, 0.17, 5.27, 15.19, 0.75, 0.97, 28.12, 27.78, 36.24",2016,"Pond and Lake Stewards"
"BR-357-01","Elbow Pond",13,12,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","11, 11, 11, 12, 12, 13, 13, 13, 13, 13, 13, 13, 11","NA, NA, NA, NA, NA, 0.34, 10.53, 27.35, 1.29, 1.88, 38.1, 33.1, NA",2016,"Pond and Lake Stewards"
"BR-1028-01","Cliff Pond",14,14,2,1.07,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14","3.22, 24.1, 9.02, 6.73, 8.1, 0.34, 10.53, 28.71, 3.86, 0.86, 38.1, 43.85, 43.17",2016,"Pond and Lake Stewards"
"CH-396-01","Stillwater Pond",9,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2013, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8","5.32, 23.5, 8.41, 7.39, 33.6, 1.01, 31.28, 25.58, 1.77, 1.58, 53.8, 36.2, 35.91",2016,"Pond and Lake Stewards"
"CH-425-01","Trout Pond",7,7,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-428-01","Lovers Lake",9,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2013, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8","4.82, 23.6, 8.68, 7.36, 36.7, 1.11, 34.38, 27.23, 5.86, 2.74, 55.16, 47.95, 37.35",2016,"Pond and Lake Stewards"
"CH-439-01","Minister Pond",7,7,1,1,"2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7","2.08, 23.1, 7.95, 6.56, 15.6, 0.46, 14.25, 26.89, 5.7, 2.66, 42.46, 47.67, 49.48",2016,"Pond and Lake Stewards"
"CH-440-01","Mill Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8","3.05, 23, 6.15, 6.62, 25.6, 0.4, 12.39, 40.7, 2.35, 1.73, 40.44, 38.98, 43.93",2016,"Pond and Lake Stewards"
"CH-458-01","Goose Pond",9,9,2,1.11,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","9, 9, 9, 1, 9, 9, 9, 8, 9, 9, 9, 8, 8, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1","5.3, 23.5, 8.16, NA, 6.21, 3.6, 0.87, 26.95, 18.9, 1.14, 0.81, 51.65, 31.89, 35.97, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"CH-463-01","Schoolhouse Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8","7.97, 23.6, 7.96, 6.4, 5.7, 0.32, 9.91, 23.93, 1.17, 1.29, 37.22, 32.14, 30.09",2016,"Pond and Lake Stewards"
"CH-479-01","Barclay Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","8, 8, 8, 1, 8, 8, 8, 7, 8, 8, 8, 7, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"CH-481-01","Ryders Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8","2.3, 23.3, 6.86, 6.1, 5.8, 0.37, 11.46, 42.46, 4.56, 2.15, 39.32, 45.48, 48",2016,"Pond and Lake Stewards"
"CH-484-01","Marys Pond",6,6,1,1,"2001, 2003, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-491-01","Emery Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2016,"Pond and Lake Stewards"
"CH-516-01","White Pond",8,8,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2016,"Pond and Lake Stewards"
"CH-522-01","Newty Pond",1,1,1,1,"2001","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2001,"Pond and Lake Stewards"
"CH-524-01","Black Pond",7,7,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-543-01","Blue Pond",6,6,1,1,"2001, 2003, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-550-01","Black Pond",6,6,1,1,"2001, 2003, 2005, 2006, 2007, 2008","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2008,"Pond and Lake Stewards"
"CH-582-01","Meadow View Pond",2,2,1,1,"2003, 2005","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2005,"Pond and Lake Stewards"
"DE-201-01","Coles Pond",15,5,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","14, 15, 15, 1, 15, 14, 15, 14, 15, 15, 14, 14, 14, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1","NA, 23.2, 7.04, NA, 4.97, 0.6, 0.34, 10.53, 32.31, 5.66, 0.72, 38.1, 47.6, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-236-01","Scargo Lake",17,17,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","17, 17, 17, 1, 17, 17, 17, 16, 16, 17, 16, 16, 16, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1","2.68, 26.07, 7.95, NA, 7.05, 18.8, 0.36, 11.25, 31.7, 4.58, 1.6, 38.58, 44.24, 46.28, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-281-01","Cedar Pond",13,13,2,1.23,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2015,"Pond and Lake Stewards"
"DE-325-01","Northern Simmons Pond",14,13,2,1.21,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13","NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA",2016,"Pond and Lake Stewards"
"DE-342-01","Bakers Pond",15,15,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","4.05, 25.65, 7.05, 6.22, 6.7, 0.34, 10.53, 28.49, 1.6, 1.85, 38.07, 35.08, 39.84",2018,"Pond and Lake Stewards"
"DE-348-01","Run Pond",15,14,2,1.2,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 15, 14, 15, 15, 15, 15, 15, 15, 15, 14","1, 28.6, 6.5, 5.23, 3.8, 1.13, 35, 58.84, 14.4, 1.66, 55.42, 56.77, 60",2018,"Pond and Lake Stewards"
"DE-355-01","Flax Pond",17,17,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","17, 17, 17, 1, 17, 15, 17, 16, 17, 17, 17, 16, 16, 16, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.63, 25.8, 6.86, NA, 5.26, 0.93, 0.35, 10.94, 22.17, 2.65, 3.29, 38.61, 38.3, 41.54, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"DE-447-01","Eagle Pond",15,15,2,1.13,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","3.5, 25.7, 7.06, 6.31, 4.7, 0.32, 9.75, 23.24, 2.98, 0.96, 36.95, 37.94, 41.95",2018,"Pond and Lake Stewards"
"DE-597-01","Fresh Pond",14,14,2,1.21,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","14, 14, 14, 14, 6, 13, 13, 14, 14, 14, 13, 14, 14","0.5, 25.1, 5.5, 4.17, 0.25, 0.6, 18.58, 55.51, 12.33, 6.89, 46.29, 55.24, 69.99",2016,"Pond and Lake Stewards"
"EA-91-01","Molls Pond",15,15,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15","1.45, 23.4, 8.48, 6.38, 5, 0.88, 27.1, 60.4, 11.02, 15.73, 51.47, 54.08, 55.76",2017,"Pond and Lake Stewards"
"EA-92-01","Ministers Pond",16,16,2,1.06,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","16, 16, 16, 1, 16, 16, 16, 15, 16, 16, 16, 15, 15, 15, 1, 1, 1, 1, 1, 1, 1, 1, 1","2.2, 22.5, 6.23, NA, 6.4, 16.2, 0.75, 23.23, 60.49, 5.01, 10.07, 48.8, 45.21, 49.3, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
