Station name,Station number,Long/lat coordinates,Site,Measuring program name,Date/Time (sampling) ,Depth,Sample number,Total Depth / DTB,Quality code,Chlorophyll / CHLA,Quality code,Secchi Depth / SECCHI,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Water Temperature / TEMP,Quality code,Total Phosphorus / TP,Quality code,Total Phosphorus - micrograms per liter / TP_ugL,Quality code,Total Nitrogen - Reported / TN,Quality code,Carlson Trophic Index - Total Phosphorus based / CTI_TP,Quality code,Carlson Trophic Index - Chlorophyll a based / CTI_CHLA,Quality code,Carlson Trophic Index - Secchi Depth Based / CTI_SD,Quality code,Alkalinity / ALK,Quality code,pH / PH,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Oxidation Reduction Potential / ORP,Quality code,pH / PH,Quality code,Phaeophytin / PHAEO,Quality code,Qualitative Wind Description / WIND,Quality code,Salinity / SAL,Quality code,Salinity / SAL,Quality code,Specific Conductivity / COND,Quality code,Total Dissolved Solids / TDS,Quality code,Total Pigments / TOTAL_PIGMENTS,Quality code,Water Temperature / TEMP,Quality code
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/26/12 0:00,0.75,,,,,,,,8.72,SMAST Pond,19.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/16/13 0:00,0.5,,1.92,SMAST Pond,1.84,SMAST Pond,1.92,SMAST Pond,7.48,SMAST Pond,21.8,SMAST Pond,0.47,SMAST Pond,14.56,SMAST Pond,33.85,SMAST Pond,42.77,,36.58,,50.6,,6.4,SMAST Pond,6.4,SMAST Pond,,,,,,,,,,,1.31,SMAST Pond,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/16/13 0:00,1,,,,,,,,7.43,SMAST Pond,21.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/16/13 0:00,1.5,,,,,,,,6.84,SMAST Pond,21.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/10/18 0:00,0.25,,0.41,SMAST - Unflagged,1.54,SMAST - Unflagged,0.41,SMAST - Unflagged,9.6,SMAST - Unflagged,20.6,SMAST - Unflagged,0.38,SMAST - Unflagged,,,22.29,SMAST - Unflagged,,,,,,,5.3,SMAST - Unflagged,6.37,SMAST - Unflagged,,,,,,,,,,,0.91,SMAST - Unflagged,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/10/18 0:00,0.35,,,,1.72,SMAST - Unflagged,,,,,ND 0.00,SMAST - Unflagged,0.35,SMAST - Unflagged,,,24.32,SMAST - Unflagged,,,,,,,5.5,SMAST - Unflagged,6.35,SMAST - Unflagged,,,,,,,,,,,1.69,SMAST - Unflagged,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/10/19 0:00,0.5,,1.9,SMAST - Unflagged,4.07,SMAST - Unflagged,1.93,SMAST - Unflagged,7.41,SMAST - Unflagged,21.8,SMAST - Unflagged,0.27,SMAST - Unflagged,,,30.02,SMAST - Unflagged,,,,,,,7.1,SMAST - Unflagged,6.23,SMAST - Unflagged,,,,,,,,,,,2.09,SMAST - Unflagged,2,SMAST - Unflagged,,,,,,,,,6.16,SMAST - Unflagged,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/10/19 0:00,1,,,,2.85,SMAST - Unflagged,,,7.58,SMAST - Unflagged,21.7,SMAST - Unflagged,0.4,SMAST - Unflagged,,,38.75,SMAST - Unflagged,,,,,,,7.1,SMAST - Unflagged,6.23,SMAST - Unflagged,,,,,,,,,,,1.29,SMAST - Unflagged,,,,,,,,,,,4.13,SMAST - Unflagged,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/10/19 0:00,1.5,,,,n.m. 0.00,SMAST - Unflagged,,,7.64,SMAST - Unflagged,21.7,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,n.m. 0.00,SMAST - Unflagged,,,,,,,n.m. 0.00,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,n.m. 0.00,SMAST - Unflagged,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/2/20 0:00,0.5,,1.33,SMAST - Unflagged,0.28,SMAST - Unflagged,1.33,SMAST - Unflagged,7.76,SMAST - Unflagged,23.1,SMAST - Unflagged,0.73,SMAST - Unflagged,,,42.34,SMAST - Unflagged,,,,,,,4.2,SMAST - Unflagged,6.11,SMAST - Unflagged,,,,,,,,,,,0.04,SMAST - Unflagged,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/2/20 0:00,1,,,,n.m. 0.00,SMAST - Unflagged,,,7.77,SMAST - Unflagged,23.2,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,n.m. 0.00,SMAST - Unflagged,,,,,,,n.m. 0.00,SMAST - Unflagged,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,n.m. 0.00,SMAST - Unflagged,,,,,,,,,,,,,,
Mary Dunn Pond / BA-646-01,BA-646-01,-1.686344338,Mary Dunn Pond,Pond and Lake Stewards,9/2/20 0:00,1.25,,,,0.79,SMAST - Unflagged,,,7.85,SMAST - Unflagged,23.2,SMAST - Unflagged,0.94,SMAST - Unflagged,,,61.49,SMAST - Unflagged,,,,,,,4.4,SMAST - Unflagged,6.15,SMAST - Unflagged,,,,,,,,,,,0.3,SMAST - Unflagged,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,0.5,,11.2,SMAST Pond,2.03,SMAST Pond,4.6,SMAST Pond,8.65,SMAST Pond,25.99,SMAST Pond,0.16,SMAST Pond,4.96,SMAST Pond,25.8,SMAST Pond,27.24,,37.55,,38.01,,0.7,SMAST Pond,6.47,SMAST Pond,,,,,,,,,,,0.31,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,1,,,,,,,,8.59,SMAST Pond,25.94,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,2,,,,,,,,8.56,SMAST Pond,25.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,3,,,,1.86,SMAST Pond,,,8.4,SMAST Pond,25.87,SMAST Pond,0.16,SMAST Pond,4.96,SMAST Pond,24.5,SMAST Pond,27.24,,36.69,,,,0.7,SMAST Pond,6.42,SMAST Pond,,,,,,,,,,,1.28,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,4,,,,,,,,8.3,SMAST Pond,25.74,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,5,,,,,,,,8.12,SMAST Pond,25.47,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,6,,,,,,,,8.09,SMAST Pond,25.12,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,7,,,,,,,,7.18,SMAST Pond,23.21,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,8,,,,,,,,3.22,SMAST Pond,19.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,9,,,,,,,,0.85,SMAST Pond,16.34,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,10,,,,7.63,SMAST Pond,,,0.5,SMAST Pond,13.86,SMAST Pond,0.16,SMAST Pond,4.96,SMAST Pond,24.4,SMAST Pond,27.24,,50.53,,,,0.9,SMAST Pond,6.42,SMAST Pond,,,,,,,,,,,1.1,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/01 0:00,11,,,,,,,,0.33,SMAST Pond,12.19,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,0.5,,11.6,SMAST Pond,2.45,SMAST Pond,4.6,SMAST Pond,8.2,SMAST Pond,22.66,SMAST Pond,0.5,SMAST Pond,15.49,SMAST Pond,17.5,SMAST Pond,43.66,,39.39,,38.01,,0.38,SMAST Pond,6.39,SMAST Pond,,,,,,,,,,,0.03,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,1,,,,,,,,8.19,SMAST Pond,22.68,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,2,,,,,,,,8.14,SMAST Pond,22.67,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,3,,,,2.46,SMAST Pond,,,8.06,SMAST Pond,22.67,SMAST Pond,1.2,SMAST Pond,37.17,SMAST Pond,17.4,SMAST Pond,56.29,,39.43,,,,0.38,SMAST Pond,6.36,SMAST Pond,,,,,,,,,,,0.03,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,4,,,,,,,,8.06,SMAST Pond,22.67,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,5,,,,,,,,8.01,SMAST Pond,22.63,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,6,,,,,,,,7.76,SMAST Pond,22.45,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,7,,,,,,,,6.64,SMAST Pond,20.28,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,8,,,,,,,,4.56,SMAST Pond,16.49,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,9,,,,11.13,SMAST Pond,,,1.67,SMAST Pond,14.42,SMAST Pond,0.6,SMAST Pond,18.58,SMAST Pond,35.1,SMAST Pond,46.29,,54.24,,,,0.55,SMAST Pond,5.95,SMAST Pond,,,,,,,,,,,0.03,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,10,,,,,,,,1.11,SMAST Pond,12.83,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/9/03 0:00,11,,,,2.38,SMAST Pond,,,0.3,SMAST Pond,11.18,SMAST Pond,1,SMAST Pond,30.97,SMAST Pond,22.8,SMAST Pond,53.65,,39.11,,,,0.49,SMAST Pond,6.02,SMAST Pond,,,,,,,,,,,1.14,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,0.5,,12,SMAST Pond,1.69,SMAST Pond,4,SMAST Pond,8,SMAST Pond,24.9,SMAST Pond,0.22,SMAST Pond,6.74,SMAST Pond,30.04,SMAST Pond,31.66,,35.77,,40.02,,7.4,SMAST Pond,6.56,SMAST Pond,,,,,,,,,,,0.03,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,1,,,,,,,,8.01,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,1.5,,,,,,,,8.02,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,2,,,,,,,,8.02,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,2.5,,,,,,,,8.03,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,3,,,,24.54,SMAST Pond,,,8.03,SMAST Pond,24.9,SMAST Pond,0.27,SMAST Pond,8.33,SMAST Pond,30.36,SMAST Pond,34.72,,62,,,,7.3,SMAST Pond,6.55,SMAST Pond,,,,,,,,,,,26.53,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,3.5,,,,,,,,8.03,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,4,,,,,,,,8.04,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,4.5,,,,,,,,8.03,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,5,,,,,,,,8.04,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,5.5,,,,,,,,8.04,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,6,,,,,,,,8.04,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,6.5,,,,,,,,8.04,SMAST Pond,24.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,7,,,,,,,,8.04,SMAST Pond,24.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,9,,,,1.82,SMAST Pond,,,,,,,1.4,SMAST Pond,43.35,SMAST Pond,45.09,SMAST Pond,58.5,,36.48,,,,7.3,SMAST Pond,6.26,SMAST Pond,,,,,,,,,,,0.44,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/15/07 0:00,11.5,,,,24.51,SMAST Pond,,,,,,,3.77,SMAST Pond,116.64,SMAST Pond,55.43,SMAST Pond,72.78,,61.98,,,,6.5,SMAST Pond,6.35,SMAST Pond,,,,,,,,,,,36.85,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,0.5,,13.4,SMAST Pond,3.58,SMAST Pond,5.25,SMAST Pond,9.12,SMAST Pond,20.3,SMAST Pond,0.38,SMAST Pond,11.77,SMAST Pond,26.75,SMAST Pond,39.7,,43.11,,36.1,,7.8,SMAST Pond,6.58,SMAST Pond,,,,,,,,,,,1.93,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,1,,,,,,,,9.19,SMAST Pond,20.3,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,2,,,,,,,,9.2,SMAST Pond,20.3,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,3,,,,3.31,SMAST Pond,,,9.25,SMAST Pond,20.3,SMAST Pond,0.48,SMAST Pond,14.87,SMAST Pond,46.09,SMAST Pond,43.07,,42.34,,,,7.9,SMAST Pond,6.59,SMAST Pond,,,,,,,,,,,2.35,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,4,,,,,,,,9.26,SMAST Pond,20.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,5,,,,,,,,9.23,SMAST Pond,20.1,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,6,,,,,,,,8.96,SMAST Pond,19.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,7,,,,,,,,9.19,SMAST Pond,18.9,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,8,,,,,,,,9.08,SMAST Pond,18.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,8.5,,,,,,,,1.62,SMAST Pond,18.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,9,,,,6.78,SMAST Pond,,,0.83,SMAST Pond,16.5,SMAST Pond,0.52,SMAST Pond,16.11,SMAST Pond,46.38,SMAST Pond,44.23,,49.38,,,,11.6,SMAST Pond,6.28,SMAST Pond,,,,,,,,,,,28.48,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,10,,,,,,,,0.09,SMAST Pond,14,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,11,,,,,,,,0.1,SMAST Pond,13.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,12,,,,,,,,0.1,SMAST Pond,13,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,12.4,,,,0.03,SMAST Pond,,,,,,,1,SMAST Pond,30.97,SMAST Pond,95.76,SMAST Pond,53.65,,-5.59,,,,20.5,SMAST Pond,6.25,SMAST Pond,,,,,,,,,,,92.59,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/24/08 0:00,13,,,,,,,,0.12,SMAST Pond,13.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,0.5,,11.5,SMAST Pond,3.06,SMAST Pond,4.45,SMAST Pond,8,SMAST Pond,21.6,SMAST Pond,0.22,SMAST Pond,6.82,SMAST Pond,26.78,SMAST Pond,31.83,,41.59,,38.49,,7.7,SMAST Pond,5.91,SMAST Pond,,,,,,,,,,,1.46,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,1,,,,,,,,7.97,SMAST Pond,21.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,2,,,,,,,,7.82,SMAST Pond,21.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,3,,,,2.98,SMAST Pond,,,7.89,SMAST Pond,21.5,SMAST Pond,0.27,SMAST Pond,8.23,SMAST Pond,26.73,SMAST Pond,34.54,,41.31,,,,7.8,SMAST Pond,6.31,SMAST Pond,,,,,,,,,,,1.65,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,4,,,,,,,,7.82,SMAST Pond,21.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,5,,,,,,,,7.72,SMAST Pond,21.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,6,,,,,,,,7.54,SMAST Pond,21.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,7,,,,,,,,6.81,SMAST Pond,21.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,9,,,,2.89,SMAST Pond,,,,,,,0.48,SMAST Pond,14.82,SMAST Pond,24.99,SMAST Pond,43.03,,41,,,,8.3,SMAST Pond,5.94,SMAST Pond,,,,,,,,,,,2.02,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,9/14/09 0:00,10.5,,,,5.51,SMAST Pond,,,,,,,0.39,SMAST Pond,12.23,SMAST Pond,24.93,SMAST Pond,40.26,,47.34,,,,9.7,SMAST Pond,5.96,SMAST Pond,,,,,,,,,,,2.99,SMAST Pond,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/18/10 0:00,0.5,,12.1,SMAST Pond,3.18,SMAST Pond,3.5,SMAST Pond,8.62,SMAST Pond,25.3,SMAST Pond,0.56,SMAST Pond,17.34,SMAST Pond,35.05,SMAST Pond,45.29,,41.94,,41.95,,9,SMAST Pond,7.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubael Pond / BA-664-01,BA-664-01,-1.689226976,Shubael Pond,Pond and Lake Stewards,8/18/10 0:00,1,,,,,,,,8.6,SMAST Pond,25.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
